,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,0.095580535,0.0127904,0.000488911,0.114160233,-0.158542996,0.038689698,0.165933503,0.104876822,0.514189232,-0.126306152,-0.032719425,0.039756656,0.068970789,-0.183315995,-0.128974334,-0.007180117,0.00886023,-0.079652996,0.251229568,-0.070925495,0.022117963,-0.122929381,-0.052464596,0.004769753,0.095370181,-0.076224091,0.006321559,-0.072055868,0.222035282,0.048655618,0.114434212,-0.337203152,0.017553305,-0.033481431,-0.08190225,0.1217094,0.000354077,-0.216581683,-0.142053259,0.137835262,0.146965946,0.129006019,-0.109819469,0.354025759,-0.132170957,-0.107392821,-0.021194694,-0.06484218,-0.153750603,0.097022756
2,-0.027928122,0.005088287,0.104142648,0.080559926,0.048964194,-0.41224035,0.499534433,0.198194674,0.231037753,-0.212940917,0.045655766,0.04282405,0.034019282,-0.04999348,-0.134203793,-0.080587487,-0.160435101,-0.022396648,0.165495017,0.103498955,-0.377658714,0.018154384,0.054578341,0.069266656,0.077644443,-0.192131269,-0.074968721,-0.212525999,0.109026985,0.074108835,-0.062382175,0.251234014,-0.127856287,-0.075878323,-0.05381512,-0.067314522,-0.36659508,0.108064892,-0.180683644,0.007113527,-0.031373465,-0.003862686,-0.215151774,0.250601531,-0.148126856,0.223889877,0.005097037,-0.130504741,-0.263010866,0.135533036
3,0.00787236,0.217733347,0.370270179,-0.062260103,-0.014229823,-0.103017094,-0.173455698,-0.040141813,0.649863691,-0.005438232,-0.111785593,0.029980002,0.086076447,0.024637413,-0.336016246,0.264294804,0.188519583,-0.009136096,-0.064465661,0.24329051,-0.031562489,0.238474441,0.071166341,0.060299338,-0.057083852,-0.1842003,-0.015648205,-0.012500469,-0.113575163,0.335539985,-0.233590607,-0.156457595,-0.034262527,0.144380065,-0.071929044,-0.099497754,-0.222905044,-0.097953243,0.008265833,-0.100569618,-0.051598117,0.065199987,-0.092165921,0.148957545,-0.081147551,0.040228436,-0.239608117,-0.142538471,-0.177593964,-0.02930996
4,-0.003741141,0.049588185,0.016958816,0.07978794,0.066604193,-0.074988724,0.038492117,-0.07793462,0.226554299,-0.148289246,-0.110083818,0.005750958,0.024518034,0.032294531,-0.128129172,-0.077842229,-0.179147549,-0.021000817,0.020797823,-0.002464907,-0.160226548,0.227590887,-0.112225564,0.014152063,0.083765495,-0.034256981,0.179692547,-0.098073126,-0.038207849,-0.033152114,-0.224314227,-0.102048875,-0.108492544,-0.129369706,-0.026345757,-0.115350505,0.349377276,0.080834507,0.065867989,0.031436345,-0.079996182,0.105133973,-0.023564599,0.247008619,-0.065040342,0.162180213,-0.157949939,0.101512506,-0.042797118,-0.049452044
5,0.014143987,0.052625241,-0.006263134,0.000903207,0.009627724,0.006833082,-0.007990806,0.041229958,0.26276646,0.035969556,0.001827155,0.00683717,-0.001268931,-0.026325888,0.034654446,-0.05723612,-0.388828541,-0.025553645,0,0.003588502,-0.00537179,-0.039699047,0.03870848,0.026668863,0.057905184,-0.060863817,0.051891655,0.010376946,-0.074152708,-0.137445641,0,0.001305308,-0.004523473,-0.026516862,-0.005397306,0,-0.027562984,-0.036799241,-0.056562402,-0.005263431,-0.018450365,-0.004624953,0.025876206,-0.064573765,-0.017563543,0.032867526,0.030186423,-0.019973491,-0.007089565,0.00666581
6,0.028973453,-0.007451932,0.004745387,-0.066673339,-0.015270113,-0.017012871,-0.005615557,-0.004144624,0.019166694,0.008946281,0.020767203,-0.006713123,0.001041601,-0.002026196,-0.014467251,0.020054035,-0.018448287,-0.01169787,-0.003380476,-0.001524326,-0.043562669,0.017362138,0.004975135,0.017866691,0.003788828,0.023340783,0.012540747,0.032558392,-0.004005205,-0.054518353,0,0.17834278,0.000963203,0.043531478,-0.169481719,0.007678418,0.041810092,-0.010272391,-0.24290577,-0.012177155,0.015832617,-0.038339633,0.069088445,-0.004050224,-0.037901438,-0.035691328,0.009898025,-0.014560414,0.004016123,-0.003023747
7,0.037379077,-0.025768713,0.066374474,0.009235141,-0.061142692,0.066034876,-0.024247657,0.012286126,-0.275036378,-0.00309805,0.012719414,-0.017595225,0.000902742,0.167760099,0.011622254,-0.067986294,-0.004627713,0.012901774,-0.297620375,0.088618587,-0.003487733,-0.003146714,-0.000745616,0.004210864,-0.004136043,0.058355605,0.007754565,-0.034761192,0.041438925,-0.038352482,0.000306629,-0.022387656,0.053892957,0.000459876,-0.005334438,-0.065180357,0.08960249,0.039470466,0.241125303,0.034669148,0.052458329,-0.002984225,-0.108082498,-0.019525658,-0.023102679,0.019950612,-0.110048172,-0.043277304,-0.040775893,0
8,0.036614017,0.018839381,3.19E-05,-0.019308165,-0.014444864,-0.003011777,0.014012475,0.032804561,0.037465206,0.007449086,-0.000629032,0.016738122,-0.015189423,-0.04532572,-0.039128705,-0.261381096,-0.625972945,-0.002729441,-0.280812181,-0.00081288,0.005481467,-0.034287179,0.004516848,-0.081957137,-0.239380986,0.010210782,-0.066177553,-0.039110222,0.014556732,0.034701247,0,0.02253353,0.006629984,0.016714472,-0.013813744,-0.013858519,0.004692061,0.054567352,-0.024861781,-0.02001119,0.05318313,-0.004301007,-0.090439787,0.001115832,-0.057011987,4.81E-05,0.094577699,-0.020711489,-0.071618656,-0.000596669
9,0.019252185,0.039020225,0.01805911,0.00504001,-0.028849081,-0.00289617,0,0.023606146,-0.048893748,0.046831139,0.036203036,-0.072780615,0.000650021,0.05351444,-0.004472259,0.135253515,-0.202798072,-0.004279078,0.001337181,0.017044778,0.049938028,0.009373795,0.044538988,-0.083262561,0.016628394,0.045403576,0.01357441,0.017343811,0.008921677,0.000855424,0.002027892,-0.056115982,-0.008992866,-0.087352323,-0.028356498,0.009712891,-0.01315969,-0.111114095,0.084834217,-0.021099138,0.033768597,-0.006065163,-0.001197319,-0.053275391,-0.001310125,0.032027307,-0.000292348,-0.070667355,-0.015096651,0
10,-0.015567319,0.011742847,0.013724058,-0.0036649,0.013037066,-0.005360252,-0.011386659,-0.008002508,-0.069816833,-0.036972299,-0.046252613,0.012158756,-0.00031839,-0.005088277,-0.012048236,-0.024038303,-0.217562283,0.076556082,0.125979055,-0.117951809,0.072588557,-0.054154783,-0.013476855,-0.023449362,-0.006926021,0.005981195,-0.098981574,-0.192082067,0.009202801,-0.01024723,0.003744336,-0.049160685,0,-0.017013548,-0.043408909,-0.042330609,0.021620653,-0.034813402,0.000514427,0.001244829,-0.032288258,-0.004350695,-0.031887034,0.019495649,-0.029402522,-0.065038439,0.003474021,0.030545659,-0.004210641,0
11,0.537344069,0.975990761,0.514004106,0.836469652,0,0.481136578,0.873819888,0,0.520787157,0,0.874597877,0.581978703,0.180067913,0.687990932,0,0.814460465,0.79593018,0,0,0.202036741,0.030861965,0.70137465,0.288175382,0.364153202,0.752813297,0.102599147,0.336011185,0.057076969,1.212609307,0.53868033,0,1.297931155,0.277882293,0.848836226,0.716069216,0.679782623,1.286783659,0,0.737428982,0.617386296,0.6294623,0.442195927,1.356134501,0.92502462,0.663476914,0.555421921,0.336503653,0,1.292878127,0.920447454
12,1.491444268,0.641261082,0.50525607,0.820193433,0.825725928,0.532069413,0,0.070059697,0.196357791,0.364258886,0.342236944,0.734843424,0.784969156,0.51198543,0.751757863,0.864833154,0.104052061,0.495429492,0,0.232432562,0.791829662,0.361066087,0.681283614,0.95243383,0.25406059,1.007863953,1.028294967,0.12886121,0,0.479427051,0,0.268005986,0.786323356,1.149562218,0.380049163,0,0.433574238,0.645494291,0.818001276,0,0.251026773,1.211501993,0.99629476,0.529712255,0.738856049,1.686853746,0.347503476,0.666482508,0.976858097,0
13,0.133916671,0.840355614,0,0.383929267,0.248276964,0,0.89709614,1.088086919,0.735174619,0.799623796,1.139463933,0.380351481,0.522451262,0.219732461,0.84354465,0.723228663,0.549553165,1.013412475,0,0.693882277,0,0.239105306,1.076921826,1.058003662,0.833404222,0.287066699,0.480226253,0.190739888,0.442799691,0.972584151,0.388182922,0.454233892,0.731050395,1.101540664,1.069054319,0.886822477,0.271415697,1.064490247,0.059895847,0.485481437,0.397116496,1.112002785,0.959570679,0.858599243,1.062895253,0.24090234,1.030037125,0.676912852,0.508818,0
14,0,-0.282605891,-0.907355483,0,0,0,0,-0.10026679,-0.426982951,0.162170673,0,0,0,0,0,0.079361297,0,-0.231002206,0,0.180622373,0,0,0,0,0,-0.463181505,0,0,0,0,0,-0.063226737,0,0,0,0,0,-0.065608086,0,-0.005660517,-0.050134688,0.109395225,-0.008247361,0,0.021197995,0,0,0.831889112,0.172428506,0
15,-0.066959412,0,0,0,0,0,0,0,0.018724522,0,0.102823008,0,0,0.097200825,0,0,0,0,0,0,0,0,0.155742679,0,0,0,0,0,0,0,0,0,0,0,-0.293453988,0,0,0,0,0,0,0,-0.104017908,-0.051975836,-0.161007621,0,0.385442845,0,0,0.013351966
16,0,0,0.323509256,0,0,0,0,0,0.126470426,0.041761122,-0.762410786,0,0.193264273,0,0,0.601678812,0,-0.277314987,0,0,0,0,-0.143340154,0,0,0,0,0.187653164,0,-0.342606713,0,-0.008212071,0,0,0,0,0,-0.012078083,0,0,-0.207868546,-9.12E-05,0,0,0,0,-0.128028335,0.316039864,0,0
17,0.15484125,0,0,0.12945715,0,0,0,-0.000962349,0,0,-0.109354681,0,0,0,-0.144244445,4.67E-07,0,0,0,-0.032561892,0,0.045577738,0,-0.045558452,0,0,0.521967461,0,0,0,0,-0.051701172,0,-0.056341576,0,0,0,0,0.133175718,0,0,0.3998078,0.335925729,0,0.274889977,-0.662947946,0,-0.260334929,0,0
18,0,-0.06025805,-0.158413766,0.077034513,0,0,0,0.02855214,0,0,0,0.097599725,0,-0.141377862,0,0,0.022492651,0,0.016127935,0,0,0.045331033,0,0,0,0,0,0,0,0.157573874,0,0.426656254,0,-0.21468331,0,-0.495528605,0,0,0,0,0.260581206,0,0,0,0,0.013803327,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0.13718306,0,0,0,-0.026269542,0.456535201,0,0,0,0,0,0.337694651,0,0.018700943,-0.043906463,0.080744548,0.141568794,0,0,0,0,0.350851146,0,0,0,0,0,0,0,0,0.103417818,0,0.071942661,0.158052239,0,0,0.185107057,0,0,0
20,1.007935745,1.045928095,0.292172202,0.906347629,1.10725101,0,0.307080309,0.579131933,0.521697747,0.297109925,0.617437493,0.767180819,0.602945594,0.848680647,0.533996353,0.563800086,0.57916493,1.050226777,0.146427161,0.672975732,0,0.65035374,1.013776095,0.310433151,0.490250047,0.768362906,0.456265672,0,0.454907506,0.5641583,0.28008989,1.147516847,0.563580627,0.354730156,1.110528262,0,1.142466278,0.598074565,0,0.594654215,0.354201923,0.456215836,0.627111257,0.13359371,0.63513398,0.98930137,0.935936935,1.150968986,0.701022296,0.06459451
21,1.37725048,0,0.83271477,1.158619324,0,0.789558725,0.479380616,0.41045081,0.233709794,0.747528913,0.456554249,0.338829961,0.075096697,1.27037698,1.157925277,0.558622477,0.34370418,0.436601095,0.751343822,0.46469227,0.734417098,0.765782094,0.698909388,0.75626156,0.216970315,0.800390349,0.665545914,0.118750831,0.847678328,0,0,1.217170266,0,0.761892795,0.587988097,1.067399066,0.915442607,0.516276816,0.38055433,0.92809179,0.880830643,0.443789391,1.109615317,0.636856091,0.687599969,0.586540687,0.103651174,0.884737096,0.385315015,0.248052947
22,0,0,0,-0.015058917,0,0.022117749,0,0.17249602,0,-0.173623288,0,-0.234658544,-0.046361941,0,0,0.267413677,0.116741294,0,0,0,0,0,0,0,0.520378693,0,-0.259622929,-0.399083799,0,0,0,0,0,0,0.058136189,0,0,0,0,-0.295574711,0,0,0,0,0,0,-0.148913731,0.061407914,0,0.081849921
23,0,0,0,0,0,0,0,0,0,-0.126318472,0.044228795,0.177846032,0,-0.041776775,0,0,0,-0.298334289,0,0.154443829,0,0,0,0.120236678,0,0,0,-0.006462467,0,0,0,0,0,0,0.736815921,0,0.403657087,0,0,0,0.40817864,0,-0.47960991,0,0,0.636761605,0,-0.088234986,0,0
24,0.054391512,0,0,-0.046499439,0,-0.262828241,0,0,0,0,0,0,0,0,-0.179007948,0.166090496,-0.223967487,0,0,0,0,-0.043290994,0,0,0,-0.351006756,0.124068898,-0.192102925,0,0,0,0.299939049,-0.139962929,0,-0.103572585,0,0,0.411581956,0,0,0,0.110660067,0,0.140746219,-0.156020662,0,0,0.221082777,0,0
25,0,0,0,0.292960304,0,0,0,0,0,0,0.089904292,0,0,-0.047950002,-0.015817721,0,0,-0.106090373,0,0,0,0,0,0,0,0,0.150399092,0,0,0.05675724,0,-0.181507726,0,0,-0.085407175,0,0,-0.145731045,0,0,0.114899209,0,0.595669347,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0.248399166,0,0,-0.020892878,0,0,0,0,0,0,-0.315445223,0.420101941,0,0,0,0,0,0.317248592,0,0.094826643,0,0,0,-0.320330954,0,0,0,0,0.362886571,0,0.679922397,0,0.130875591,-0.46603068,0,0,0,0,0,0
